iter	MultiRMSE
0	1.709520683
1	1.700229473
2	1.691528998
3	1.683571939
4	1.676125083
5	1.669156512
6	1.661957984
7	1.656049436
8	1.649245091
9	1.643662645
10	1.638541614
11	1.632773391
12	1.627484346
13	1.622551546
14	1.617420848
15	1.613114528
16	1.608799925
17	1.604686416
18	1.600707331
19	1.597083804
20	1.593978205
21	1.590523054
22	1.587128735
23	1.584174659
24	1.581308076
25	1.578667821
26	1.575678643
27	1.573250633
28	1.570532454
29	1.567948924
30	1.565909316
31	1.563713115
32	1.561791872
33	1.560107568
34	1.557986564
35	1.555984542
36	1.55420985
37	1.552652955
38	1.551049724
39	1.549427709
40	1.54801791
41	1.546465252
42	1.544961747
43	1.543596823
44	1.542230456
45	1.540964573
46	1.539606913
47	1.538324895
48	1.537041281
49	1.535986419
50	1.534795449
51	1.533712064
52	1.532708085
53	1.531696226
54	1.530713315
55	1.529705017
56	1.528785376
57	1.527818904
58	1.526860658
59	1.525925273
60	1.524988193
61	1.524035073
62	1.52312075
63	1.522400879
64	1.52159542
65	1.520754991
66	1.519799097
67	1.518989713
68	1.518305031
69	1.517592953
70	1.516706595
71	1.515956027
72	1.515139899
73	1.514240581
74	1.513516427
75	1.512726337
76	1.512058868
77	1.511296766
78	1.51063337
79	1.510070895
80	1.509442777
81	1.508884867
82	1.508350963
83	1.507669445
84	1.507067485
85	1.506307754
86	1.505619277
87	1.505013209
88	1.504323243
89	1.503831865
90	1.503326804
91	1.502725319
92	1.502248868
93	1.501550502
94	1.500914863
95	1.500353781
96	1.4997613
97	1.499053855
98	1.498426342
99	1.497993982
100	1.497448386
101	1.496916953
102	1.496362608
103	1.495692769
104	1.495113242
105	1.494640984
106	1.4941634
107	1.493663862
108	1.493092705
109	1.492506986
110	1.491968005
111	1.491543784
112	1.49101622
113	1.490484968
114	1.489986612
115	1.489622398
116	1.489161688
117	1.488557622
118	1.488121005
119	1.48765064
120	1.487153753
121	1.486662993
122	1.486197433
123	1.4855987
124	1.48503795
125	1.484609629
126	1.484167365
127	1.483644392
128	1.48326164
129	1.482765527
130	1.482263362
131	1.481887111
132	1.481453325
133	1.481113128
134	1.480699163
135	1.480250809
136	1.479841162
137	1.479441981
138	1.479023352
139	1.478601927
140	1.47821154
141	1.477741308
142	1.477331391
143	1.476933664
144	1.47652864
145	1.476049035
146	1.475609936
147	1.475176865
148	1.474657414
149	1.474163898
150	1.47378851
151	1.473221737
152	1.472849774
153	1.472442527
154	1.472053867
155	1.471658626
156	1.471212469
157	1.470793515
158	1.470320544
159	1.46996902
160	1.469491987
161	1.46915196
162	1.468822632
163	1.468418802
164	1.468070009
165	1.467764892
166	1.467460571
167	1.467024051
168	1.466610955
169	1.466256763
170	1.465796442
171	1.465396627
172	1.465047544
173	1.464707898
174	1.464216987
175	1.463834009
176	1.463593591
177	1.463100831
178	1.462797937
179	1.462445589
180	1.462092725
181	1.461767161
182	1.461363351
183	1.460990769
184	1.460566421
185	1.46013856
186	1.459745946
187	1.459331037
188	1.458986915
189	1.45870179
190	1.458423704
191	1.45814322
192	1.457686693
193	1.457312246
194	1.456953446
195	1.456594867
196	1.456345409
197	1.455909882
198	1.455597211
199	1.455212954
200	1.454873484
201	1.454446299
202	1.454080916
203	1.45378759
204	1.45341319
205	1.453117067
206	1.452698531
207	1.452388636
208	1.451969951
209	1.451564284
210	1.451211005
211	1.45086533
212	1.45040583
213	1.449999166
214	1.449512583
215	1.449183758
216	1.44882158
217	1.448342613
218	1.447968483
219	1.447630111
220	1.447330692
221	1.447055206
222	1.446711273
223	1.446384548
224	1.446010969
225	1.445730814
226	1.445308334
227	1.445015406
228	1.444781569
229	1.444367841
230	1.444081948
231	1.443752136
232	1.443453907
233	1.443138287
234	1.442824594
235	1.442397021
236	1.442100945
237	1.441803247
238	1.441511105
239	1.44123975
240	1.440892743
241	1.440574003
242	1.440342567
243	1.440100101
244	1.439657285
245	1.439384081
246	1.439020686
247	1.438656575
248	1.438368922
249	1.437999515
250	1.437711981
251	1.437359804
252	1.437069638
253	1.436712044
254	1.436400768
255	1.436136089
256	1.435838596
257	1.43554148
258	1.435177363
259	1.434775913
260	1.434526988
261	1.43423606
262	1.433893757
263	1.433478895
264	1.433137228
265	1.432916519
266	1.432664947
267	1.432330998
268	1.431964935
269	1.43163076
270	1.431383173
271	1.431040313
272	1.430750752
273	1.43039661
