iter	Passed	Remaining
0	17	17399
1	30	15297
2	43	14578
3	57	14207
4	70	13993
5	84	13925
6	96	13637
7	109	13546
8	120	13259
9	134	13286
10	147	13304
11	159	13148
12	173	13158
13	186	13112
14	198	13041
15	211	13017
16	225	13016
17	238	12996
18	250	12931
19	263	12893
20	275	12829
21	287	12761
22	299	12718
23	310	12637
24	322	12572
25	335	12564
26	347	12512
27	359	12482
28	372	12459
29	383	12411
30	397	12419
31	408	12345
32	419	12305
33	432	12297
34	445	12285
35	458	12282
36	470	12240
37	483	12230
38	496	12224
39	508	12205
40	521	12189
41	533	12157
42	545	12142
43	557	12123
44	570	12107
45	583	12092
46	596	12085
47	608	12064
48	620	12047
49	632	12023
50	645	12004
51	657	11990
52	670	11975
53	682	11963
54	695	11953
55	707	11931
56	720	11926
57	733	11914
58	745	11890
59	758	11878
60	770	11857
61	782	11844
62	795	11834
63	808	11821
64	821	11809
65	833	11788
66	845	11778
67	857	11755
68	870	11744
69	882	11723
70	893	11695
71	907	11694
72	919	11679
73	932	11664
74	945	11658
75	956	11634
76	970	11631
77	982	11615
78	994	11599
79	1007	11585
80	1019	11566
81	1031	11549
82	1043	11527
83	1055	11512
84	1068	11500
85	1080	11483
86	1093	11470
87	1104	11444
88	1115	11416
89	1127	11398
90	1138	11377
91	1150	11359
92	1162	11341
93	1176	11336
94	1188	11326
95	1201	11316
96	1213	11300
97	1226	11291
98	1239	11276
99	1250	11258
100	1263	11243
101	1274	11223
102	1287	11213
103	1300	11203
104	1312	11191
105	1326	11183
106	1339	11177
107	1351	11164
108	1363	11149
109	1377	11142
110	1390	11134
111	1403	11125
112	1415	11107
113	1427	11097
114	1440	11085
115	1453	11076
116	1464	11054
117	1477	11043
118	1490	11033
119	1502	11017
120	1514	11005
121	1527	10994
122	1540	10982
123	1553	10972
124	1565	10960
125	1578	10950
126	1590	10935
127	1603	10923
128	1615	10911
129	1629	10902
130	1641	10890
131	1652	10869
132	1665	10859
133	1677	10839
134	1689	10822
135	1701	10807
136	1714	10798
137	1726	10784
138	1738	10769
139	1751	10760
140	1763	10745
141	1776	10732
142	1788	10720
143	1801	10708
144	1814	10697
145	1826	10682
146	1839	10675
147	1852	10661
148	1865	10651
149	1877	10638
150	1889	10623
151	1901	10607
152	1913	10595
153	1927	10588
154	1940	10577
155	1952	10565
156	1965	10552
157	1978	10541
158	1991	10531
159	2003	10519
160	2016	10508
161	2028	10493
162	2040	10478
163	2052	10460
164	2065	10450
165	2077	10436
166	2089	10424
167	2102	10414
168	2115	10402
169	2128	10390
170	2140	10378
171	2153	10365
172	2166	10354
173	2179	10345
174	2192	10335
175	2204	10321
176	2216	10308
177	2229	10296
178	2241	10280
179	2253	10266
180	2265	10251
181	2278	10238
182	2290	10227
183	2302	10209
184	2314	10197
185	2327	10184
186	2339	10172
187	2353	10162
188	2364	10148
189	2377	10136
190	2389	10122
191	2402	10108
192	2415	10099
193	2428	10088
194	2440	10073
195	2453	10062
196	2465	10049
197	2477	10035
198	2490	10023
199	2502	10010
200	2515	9998
201	2528	9987
202	2540	9975
203	2552	9959
204	2565	9950
205	2577	9935
206	2590	9923
207	2602	9910
208	2614	9893
209	2626	9882
210	2638	9867
211	2651	9856
212	2664	9844
213	2676	9831
214	2689	9820
215	2701	9805
216	2713	9790
217	2726	9779
218	2737	9763
219	2751	9754
220	2763	9742
221	2776	9728
222	2788	9716
223	2801	9704
224	2814	9693
225	2826	9681
226	2839	9670
227	2852	9659
228	2864	9645
229	2876	9629
230	2888	9617
231	2902	9607
232	2914	9595
233	2927	9584
234	2940	9571
235	2953	9561
236	2965	9548
237	2977	9533
238	2991	9523
239	3003	9511
240	3016	9501
241	3029	9489
242	3041	9473
243	3053	9461
244	3067	9451
245	3079	9438
246	3092	9426
247	3105	9415
248	3117	9402
249	3130	9390
250	3143	9380
251	3156	9367
252	3168	9354
253	3180	9342
254	3192	9328
255	3205	9314
256	3217	9301
257	3229	9288
258	3242	9275
259	3253	9261
260	3266	9247
261	3278	9234
262	3290	9221
263	3303	9208
264	3315	9195
265	3327	9182
266	3340	9169
267	3352	9156
268	3364	9142
269	3377	9131
270	3389	9118
271	3402	9107
272	3414	9093
273	3427	9081
